titulo,descripcion,imagen,ingredientes,fecha,fuente,Producto,Porción,Nutriente,Cantidad,Unidad,%VD,Cantidad_num,_origen_html,_row,Nutriente_unidad
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Valor energético,163,kcal,8.0,163.0,modal_html,0,Valor energético [kcal]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Azúcares,11.49,g,,11.49,modal_html,0,Azúcares [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Lactosa,3.3,g,,3.3,modal_html,0,Lactosa [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Proteínas,13,g,17.0,13.0,modal_html,0,Proteínas [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Grasas saturadas,3.6,g,16.0,3.6,modal_html,0,Grasas saturadas [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Grasas trans,0,g,,0.0,modal_html,0,Grasas trans [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Fibra,0,g,0.0,0.0,modal_html,0,Fibra [g]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Sodio,168,mg,7.0,168.0,modal_html,0,Sodio [mg]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Vitamina A,219,µg,37.0,219.0,modal_html,0,Vitamina A [µg]
Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,"YOGUR CON PROBIÓTICOS ENTERO REDUCIDO EN LACTOSA FORTIFICADO CON ZINC Y VITAMINAS A, B12, D Y ÁCIDO FÓLICO SABOR NATURAL LIBRE DE GLUTEN",https://www.nutrinfo.com/imagenes/vademecum/16259/68dc7dc774981.jpg,"INGREDIENTES: Leche entera pasteurizada, proteínas lácteas, almidón modificado de maíz, gelatina, lactasa, zinc, cultivos lácticos, cultivo probiótico (L. rhamnosus CRL 1505), vitaminas B12, A, D y ácido fólico.",01-10-2025,Página web empresa oficial,Yogur Parcialmente Descremado Sin Endulzar Sabor Natural Yogurisimo Griego,Porción: 200 g (1 vaso),Ácido Fólico (B9),84.02,µg,21.0,84.02,modal_html,0,Ácido Fólico (B9) [µg]
